,repo,developer_random_id,commit,addition,deletion,days_since_last_commit,days_first_to_last_commit,files,commit_messages_length,days_worked,files_blamed,issues,pulls_created,merges,repo_developer_count,repo_language_count,repo_ruby_used,repo_c_used,repo_cpp_used,repo_cs_used,repo_java_used,repo_js_used,repo_python_used,repo_html_used,repo_php_used,repo_others_used,author
23,atom/atom-shell,atom-shell_19,0.00636436,0.01697439,0.01697439,0.0,0.114318707,0.011274935,0.005104037,0.015025042,0.010416667,0.037037037,0.027027027,0.003539823,178,11,0,1,1,0,0,1,1,1,0,1,0
24,atom/atom-shell,atom-shell_1,0.007425086,0.008437562,0.008437562,1.0,0.048498845,0.007805724,0.006496048,0.020033389,0.0,0.0,0.0,0.0,178,11,0,1,1,0,0,1,1,1,0,1,0
25,atom/atom-shell,atom-shell_13,0.004242906,0.001488982,0.001488982,0.423452769,0.015011547,0.005203816,0.002672212,0.006677796,0.0,0.0,0.018018018,0.0,178,11,0,1,1,0,0,1,1,1,0,1,0
26,atom/atom-shell,atom-shell_9,0.00318218,0.001488982,0.001488982,0.125407166,0.0,0.010407632,0.004265477,0.0,0.0,0.0,0.004504505,0.0,178,11,0,1,1,0,0,1,1,1,0,1,0
27,atom/atom-shell,atom-shell_20,0.00318218,0.004764741,0.004764741,0.776872964,0.304849885,0.026019081,0.003773522,0.013355593,0.0,0.0,0.018018018,0.0,178,11,0,1,1,0,0,1,1,1,0,1,0
28,atom/atom-shell,atom-shell_17,0.007159905,0.050724638,0.050724638,0.022801303,0.83256351,0.20641804,0.013808294,0.071786311,0.291666667,0.148148148,0.022522523,0.05840708,178,11,0,1,1,0,0,1,1,1,0,1,0
29,atom/atom-shell,atom-shell_2,0.002651816,0.003077229,0.003077229,0.004885993,0.035796767,0.00954033,0.002834334,0.010016694,0.0,0.0,0.045045045,0.0,178,11,0,1,1,0,0,1,1,1,0,1,0
30,atom/atom-shell,atom-shell_3,0.00159109,0.001687512,0.001687512,0.045602606,0.374133949,0.005203816,0.002241751,0.008347245,0.0,0.0,0.018018018,0.0,178,11,0,1,1,0,0,1,1,1,0,1,0
31,atom/atom-shell,atom-shell_16,0.001060727,0.001191185,0.001191185,0.464169381,0.011547344,0.006071119,0.001856014,0.008347245,0.0,0.0,0.022522523,0.0,178,11,0,1,1,0,0,1,1,1,0,1,0
32,atom/atom-shell,atom-shell_8,0.000530363,0.000595593,0.000595593,0.104234528,0.008083141,0.0,0.00111808,0.003338898,0.0,0.0,0.004504505,0.0,178,11,0,1,1,0,0,1,1,1,0,1,0
33,atom/atom-shell,atom-shell_24,0.000265182,0.001786778,0.001786778,0.04723127,0.002309469,0.010407632,0.000894464,0.003338898,0.0,0.0,0.022522523,0.0,178,11,0,1,1,0,0,1,1,1,0,1,0
34,atom/atom-shell,atom-shell_4,0.000265182,0.000694858,0.000694858,0.171009772,0.006928406,0.003469211,0.0,0.005008347,0.0,0.0,0.0,0.0,178,11,0,1,1,0,0,1,1,1,0,1,0
35,atom/atom-shell,atom-shell_6,0.000265182,0.0,0.0,0.128664495,0.017321016,0.003469211,0.000648487,0.003338898,0.0,0.0,0.031531532,0.0,178,11,0,1,1,0,0,1,1,1,0,1,0
36,atom/atom-shell,atom-shell_14,0.0,0.001389716,0.001389716,0.166123779,0.091224018,0.010407632,0.000983911,0.005008347,0.0,0.0,0.009009009,0.0,178,11,0,1,1,0,0,1,1,1,0,1,0
37,atom/atom-shell,atom-shell_26,0.000530363,0.000496327,0.000496327,0.610749186,0.011547344,0.002601908,0.00097273,0.006677796,0.0,0.0,0.013513514,0.0,178,11,0,1,1,0,0,1,1,1,0,1,0
38,atom/atom-shell,atom-shell_15,0.0,0.001389716,0.001389716,0.055374593,0.006928406,0.002601908,0.001716254,0.005008347,0.0,0.0,0.009009009,0.0,178,11,0,1,1,0,0,1,1,1,0,1,0
39,atom/atom-shell,atom-shell_5,0.0,9.93e-05,9.93e-05,0.171009772,0.008083141,0.000867303,0.000905645,0.005008347,0.0,0.0,0.009009009,0.0,178,11,0,1,1,0,0,1,1,1,0,1,0
40,atom/atom-shell,atom-shell_11,0.0,0.000893389,0.000893389,0.283387622,0.021939954,0.0,0.001705073,0.005008347,0.0,0.0,0.009009009,0.0,178,11,0,1,1,0,0,1,1,1,0,1,0
41,atom/atom-shell,atom-shell_25,0.000265182,0.0,0.0,0.034201954,0.118937644,0.0,0.000503136,0.005008347,0.0,0.0,0.018018018,0.0,178,11,0,1,1,0,0,1,1,1,0,1,0
42,capistrano/capistrano,capistrano_7,0.996822034,0.460619803,0.460619803,0.770775237,0.492057489,0.512987013,0.998929656,0.595015576,0.0,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
43,capistrano/capistrano,capistrano_28,0.352754237,0.999546485,0.999546485,0.016452872,1.0,0.996753247,0.652657758,0.996884735,0.573770492,0.714285714,0.112903226,1.0,373,3,1,0,0,0,0,0,0,1,0,1,1
44,capistrano/capistrano,capistrano_9,0.11440678,0.062585034,0.062585034,0.271890686,0.132753404,0.301948052,0.096614251,0.211838006,0.06557377,1.0,0.322580645,0.158878505,373,3,1,0,0,0,0,0,0,1,0,1,0
45,capistrano/capistrano,capistrano_61,0.103813559,0.114739229,0.114739229,0.001115449,0.09871407,0.350649351,0.078528592,0.049844237,0.62295082,0.0,0.629032258,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
