,repo,developer_random_id,commit,addition,deletion,days_since_last_commit,days_first_to_last_commit,files,commit_messages_length,days_worked,files_blamed,issues,pulls_created,merges,repo_developer_count,repo_language_count,repo_ruby_used,repo_c_used,repo_cpp_used,repo_cs_used,repo_java_used,repo_js_used,repo_python_used,repo_html_used,repo_php_used,repo_others_used,author
32,atom/atom-shell,atom-shell_8,-0.237200163,-0.256576261,-0.256576261,-0.309513069,-0.716396639,-0.35388275,-0.232765577,-0.321101902,-0.313851439,-0.234438831,-0.331440656,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
33,atom/atom-shell,atom-shell_24,-0.238588501,-0.250331935,-0.250331935,-0.530761065,-0.734399906,-0.30030424,-0.233934856,-0.321101902,-0.313851439,-0.234438831,-0.244768523,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
34,atom/atom-shell,atom-shell_4,-0.238588501,-0.2560559,-0.2560559,-0.050336846,-0.719997293,-0.336023246,-0.238611972,-0.312362233,-0.313851439,-0.234438831,-0.35310869,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
35,atom/atom-shell,atom-shell_6,-0.238588501,-0.259698424,-0.259698424,-0.214692499,-0.687591413,-0.336023246,-0.235221063,-0.321101902,-0.313851439,-0.234438831,-0.201432457,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
36,atom/atom-shell,atom-shell_14,-0.23997684,-0.252413377,-0.252413377,-0.069300959,-0.457149605,-0.30030424,-0.233467144,-0.312362233,-0.313851439,-0.234438831,-0.309772623,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
37,atom/atom-shell,atom-shell_26,-0.237200163,-0.257096621,-0.257096621,1.656433406,-0.70559468,-0.340488122,-0.233525608,-0.303622564,-0.313851439,-0.234438831,-0.28810459,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
38,atom/atom-shell,atom-shell_15,-0.23997684,-0.252413377,-0.252413377,-0.499154208,-0.719997293,-0.340488122,-0.229637755,-0.312362233,-0.313851439,-0.234438831,-0.309772623,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
39,atom/atom-shell,atom-shell_5,-0.23997684,-0.259178063,-0.259178063,-0.050336846,-0.716396639,-0.349417874,-0.233876392,-0.312362233,-0.313851439,-0.234438831,-0.309772623,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
40,atom/atom-shell,atom-shell_11,-0.23997684,-0.255015179,-0.255015179,0.385837774,-0.6731888,-0.35388275,-0.229696219,-0.312362233,-0.313851439,-0.234438831,-0.309772623,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
41,atom/atom-shell,atom-shell_25,-0.238588501,-0.259698424,-0.259698424,-0.581332035,-0.370733927,-0.35388275,-0.235981094,-0.312362233,-0.313851439,-0.234438831,-0.266436557,-0.206633799,178,11,0,1,1,0,0,1,1,1,0,1,0
42,capistrano/capistrano,capistrano_7,7.439757967,3.175980524,3.175980524,1.805554148,2.097228273,2.956398287,6.550553083,3.764130973,-0.243327505,-0.225484009,-0.464103606,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
43,capistrano/capistrano,capistrano_28,2.484776179,7.15197619,7.15197619,-1.215378357,4.825869189,6.144601023,4.193684593,6.507245849,3.359791317,3.908389493,0.285602219,7.624347582,373,3,1,0,0,0,0,0,0,1,0,1,1
44,capistrano/capistrano,capistrano_9,0.651106932,0.239431691,0.239431691,-0.19239345,0.167065302,1.56557159,0.40902455,1.148602835,0.168457503,5.561938894,1.677913036,1.063631279,373,3,1,0,0,0,0,0,0,1,0,1,0
45,capistrano/capistrano,capistrano_61,0.569610521,0.624205465,0.624205465,-1.276802123,-0.015792242,1.886531597,0.285926142,0.042851102,3.668630073,-0.225484009,3.712828846,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
46,capistrano/capistrano,capistrano_11,0.439216263,0.771423257,0.771423257,-1.281269306,1.505988879,1.950723598,1.139579859,1.744007614,6.03639387,0.601290691,6.176147984,1.938393453,373,3,1,0,0,0,0,0,0,1,0,1,1
47,capistrano/capistrano,capistrano_25,0.088781696,0.316386446,0.316386446,-1.018822305,1.310940831,1.052035579,0.099725067,0.659520337,-0.037435001,-0.225484009,1.677913036,0.261765953,373,3,1,0,0,0,0,0,0,1,0,1,0
